Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40227938,"Yo, bufón del rey",Mahi Binebine,"Binebine, Mahi",,"=""""","=""""",3,3.71,ALFAGUARA,Kindle Edition,107,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
39799845,Contra todo esto: Un manifiesto rebelde,Manuel Rivas,"Rivas, Manuel",,"=""""","=""""",4,3.72,Alfaguara,Kindle Edition,,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
36674389,Ya nadie llora por mí,Sergio Ramírez,"Ramírez, Sergio",,"=""""","=""""",4,3.89,Alfaguara,Kindle Edition,376,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
30332766,La confesión de la leona,Mia Couto,"Couto, Mia",Rosa Martínez-Alfaro,"=""""","=""""",3,3.80,Alfaguara,Kindle Edition,216,2016,2012,,2021/11/27,,,read,,,,1,,,0,,,,,
38391103,Pequeños cementerios bajo la luna,Mauricio Electorat,"Electorat, Mauricio",,"=""""","=""""",3,4.00,ALFAGUARA,Kindle Edition,270,2017,,,2021/11/27,,,read,,,,1,,,0,,,,,
39920303,La desaparición de Stephanie Mailer,Joël Dicker,"Dicker, Joël",,"=""""","=""""",4,3.92,ALFAGUARA,Kindle Edition,656,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
34802851,De qué hablo cuando hablo de escribir,Haruki Murakami,"Murakami, Haruki","Yoko Ogihara, Fernando Cordobés","=""""","=""""",5,3.87,Tusquets Editores S.A.,Kindle Edition,234,2017,2015,,2021/11/27,,,read,,,,1,,,0,,,,,
39723226,La chica del cumpleaños,Haruki Murakami,"Murakami, Haruki",Lourdes Porta,"=""""","=""""",3,3.60,Tusquets Editores S.A.,Kindle Edition,,2018,2002,,2021/11/27,,,read,,,,1,,,0,,,,,
13560589,La furia de Aquiles ,Gustavo Rodríguez,"Rodríguez, Gustavo",,"=""""","=""""",3,3.79,,Kindle Edition,218,2011,2001,,2021/11/27,,,read,,,,1,,,0,,,,,
29632178,Los últimos días de nuestros padres,Joël Dicker,"Dicker, Joël",,"=""""","=""""",4,3.82,ALFAGUARA,Kindle Edition,416,2014,2011,,2021/11/27,,,read,,,,1,,,0,,,,,
25053586,El verano de los juguetes muertos,Toni Hill,"Hill, Toni",,"=""""","=""""",3,3.68,Vintage Espanol,Kindle Edition,368,2012,2011,,2021/11/27,,,read,,,,1,,,0,,,,,
40225687,Tigres de cristal,Toni Hill,"Hill, Toni",,"=""""","=""""",3,4.06,Grijalbo,Kindle Edition,480,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
32051480,Homo Deus: Breve historia del mañana,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.21,DEBATE,Kindle Edition,528,2016,2015,,2021/11/27,,,read,,,,1,,,0,,,,,
40236856,Usos rudimentarios de la selva,Jordi Soler,"Soler, Jordi",,"=""""","=""""",4,3.89,Alfaguara,Kindle Edition,120,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
25184705,La mujer del novelista,Eloy Urroz,"Urroz, Eloy",,"=""""","=""""",4,3.82,Alfaguara,Kindle Edition,546,2014,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
19218288,Cometas en el cielo,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",2,4.32,Ediciones Salamandra,Kindle Edition,384,2011,2003,,2021/11/27,,,read,,,,1,,,0,,,,,
31701828,Opus nigrum,Marguerite Yourcenar,"Yourcenar, Marguerite",,"=""""","=""""",3,4.06,DEBOLS!LLO,Kindle Edition,384,2016,1968,,2021/11/27,,,read,,,,1,,,0,,,,,
40116081,La bruja (MAEVA noir),Camilla Läckberg,"Läckberg, Camilla","Maëva, Carmen Montes Cano","=""""","=""""",3,3.90,Maeva,Kindle Edition,680,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
40363751,Bajo dos banderas: Relatos de España en la Guerra de la Independencia de los Estados Unidos,Arturo Pérez-Reverte,"Pérez-Reverte, Arturo","Lorenzo Silva, Juan Gomez-Jurado, Espido Freire, Juan Eslava Galán, Luz Gabás, Agustín Fernández Mallo, Susana Fortes, Emilio Lara, Cristina López Barrio","=""""","=""""",3,3.61,Zenda,Kindle Edition,149,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
28529644,Einstein: Su vida y su universo,Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",4,4.12,DEBATE,Kindle Edition,736,2016,2007,,2021/11/27,,,read,,,,1,,,0,,,,,
36584844,Los restos del día,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",4,4.13,Vintage Español,Kindle Edition,256,2018,1989,,2021/11/27,,,read,,,,1,,,0,,,,,
30296882,Te dejé ir,Clare Mackintosh,"Mackintosh, Clare","Ana Alcaina, Verónica Canales","=""""","=""""",3,4.05,DeBolsillo,Kindle Edition,432,2016,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
